NLC,NAME,EASTING,NORTHING,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Zone,x,y,Night Tube?
656,North Harrow,513541,188613,Metropolitan,London Underground,Yes,,,,5,-0.361021834,51.58444941,No
657,Northolt,513213,184524,Central,London Underground,Yes,,,,5,-0.367069735,51.54775741,No
659,North Wembley,517668,186198,"Bakerloo, London Overground",London Underground,Yes,,Yes,,4,-0.302293996,51.56189247,No
660,Northwick Park,516643,187964,Metropolitan,London Underground,Yes,,,,4,-0.316478653,51.57797585,No
661,Northwood,509230,191419,Metropolitan,London Underground,Yes,,,,6,-0.422358538,51.61052039,No
662,Northwood Hills,510308,190238,Metropolitan,London Underground,Yes,,,,6,-0.407168137,51.59969703,No
663,Notting Hill Gate,525285,180456,"Central, Circle, District",London Underground,Yes,,,,"1,2",-0.194491212,51.5086469,Yes
664,Oakwood,529390,195935,Piccadilly,London Underground,Yes,,,,5,-0.129657109,51.64683948,Yes
665,Old Street,532764,182419,Northern,London Underground,Yes,,,,1,-0.086025441,51.52457628,No
667,Osterley,514520,177097,Piccadilly,London Underground,Yes,,,,4,-0.350640896,51.48073359,Yes
668,Oval,531170,177565,Northern,London Underground,Yes,,,,2,-0.110799082,51.48132384,Yes
669,Oxford Circus,529047,181236,"Bakerloo, Central, Victoria",London Underground,Yes,,,,1,-0.140025246,51.51481046,Yes
670,Paddington TfL,526459,181527,"Circle, District, Hammersmith & City",London Underground,Yes,,,,1,-0.17719615,51.51800497,No
671,Park Royal,519142,182236,Piccadilly,London Underground,Yes,,,,3,-0.282378071,51.52597425,No
672,Parsons Green,524985,176647,District,London Underground,Yes,,,,2,-0.200166803,51.47447238,No
673,Perivale,516378,183315,Central,London Underground,Yes,,,,4,-0.32183979,51.53624702,No
674,Piccadilly Circus,529613,180666,"Bakerloo, Piccadilly",London Underground,Yes,,,,1,-0.132081484,51.50955061,Yes
675,Pinner,512236,189461,Metropolitan,London Underground,Yes,,,,5,-0.379580851,51.59232907,No
676,Plaistow,540003,183297,"District, Hammersmith & City",London Underground,Yes,,,,3,0.018612643,51.53072137,No
677,Preston Road,518249,187282,Metropolitan,London Underground,Yes,,,,4,-0.293539223,51.57151381,No
678,Putney Bridge,524519,175887,District,London Underground,Yes,,,,2,-0.207131382,51.46774182,No
679,Queensbury,518809,189763,Jubilee,London Underground,Yes,,,,4,-0.284629817,51.59369962,Yes
680,Queen's Park,524547,183200,"Bakerloo, London Overground",London Underground,Yes,,Yes,,2,-0.204142926,51.53347212,No
681,Queensway,525903,180594,Central,London Underground,Yes,,,,1,-0.185538472,51.50974305,Yes
682,Ravenscourt Park,522571,178722,District,London Underground,Yes,,,,2,-0.234181724,51.49365752,No
683,Rayners Lane,512953,187515,"Metropolitan, Piccadilly",London Underground,Yes,,,,5,-0.369864752,51.57469667,No
684,Redbridge,541834,188358,Central,London Underground,Yes,,,,4,0.047039301,51.5757446,Yes
685,Regent's Park,528699,182113,Bakerloo,London Underground,Yes,,,,1,-0.144708117,51.52277011,No
686,Richmond,518077,175161,"District, London Overground",London Underground,Yes,,Yes,,4,-0.300084253,51.46260595,No
